관리ID,작업ID,단계,공사/안전이 해야할 일,확인자,기록/증빙,출처URL
S-MECH-DUCT-001-03,MECH-DUCT-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-MECH-EQUIP-001-01,MECH-EQUIP-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-MECH-EQUIP-001-02,MECH-EQUIP-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-MECH-EQUIP-001-03,MECH-EQUIP-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-MECH-TEST-001-01,MECH-TEST-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-MECH-TEST-001-02,MECH-TEST-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-MECH-TEST-001-03,MECH-TEST-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-ELEC-CONDUIT-001-01,ELEC-CONDUIT-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-ELEC-CONDUIT-001-02,ELEC-CONDUIT-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-ELEC-CONDUIT-001-03,ELEC-CONDUIT-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-ELEC-WIRE-001-01,ELEC-WIRE-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-ELEC-WIRE-001-02,ELEC-WIRE-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-ELEC-WIRE-001-03,ELEC-WIRE-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-ELEC-PANEL-001-01,ELEC-PANEL-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-ELEC-PANEL-001-02,ELEC-PANEL-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-ELEC-PANEL-001-03,ELEC-PANEL-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-ELEC-LIGHT-001-01,ELEC-LIGHT-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-ELEC-LIGHT-001-02,ELEC-LIGHT-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-ELEC-LIGHT-001-03,ELEC-LIGHT-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-ELEC-GROUND-001-01,ELEC-GROUND-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-ELEC-GROUND-001-02,ELEC-GROUND-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-ELEC-GROUND-001-03,ELEC-GROUND-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-FIRE-SPR-001-01,FIRE-SPR-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-FIRE-SPR-001-02,FIRE-SPR-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-FIRE-SPR-001-03,FIRE-SPR-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-FIRE-HYDRANT-001-01,FIRE-HYDRANT-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-FIRE-HYDRANT-001-02,FIRE-HYDRANT-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-FIRE-HYDRANT-001-03,FIRE-HYDRANT-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-FIRE-ALARM-001-01,FIRE-ALARM-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-FIRE-ALARM-001-02,FIRE-ALARM-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-FIRE-ALARM-001-03,FIRE-ALARM-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-FIRE-SMOKE-001-01,FIRE-SMOKE-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-FIRE-SMOKE-001-02,FIRE-SMOKE-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-FIRE-SMOKE-001-03,FIRE-SMOKE-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-EXT-PAVE-001-01,EXT-PAVE-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-EXT-PAVE-001-02,EXT-PAVE-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-EXT-PAVE-001-03,EXT-PAVE-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-EXT-BLOCK-001-01,EXT-BLOCK-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-EXT-BLOCK-001-02,EXT-BLOCK-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-EXT-BLOCK-001-03,EXT-BLOCK-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-EXT-MANHOLE-001-01,EXT-MANHOLE-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-EXT-MANHOLE-001-02,EXT-MANHOLE-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-EXT-MANHOLE-001-03,EXT-MANHOLE-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-LAND-PLANT-001-01,LAND-PLANT-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-LAND-PLANT-001-02,LAND-PLANT-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-LAND-PLANT-001-03,LAND-PLANT-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-LAND-FAC-001-01,LAND-FAC-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-LAND-FAC-001-02,LAND-FAC-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-LAND-FAC-001-03,LAND-FAC-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-CLOSE-CLEAN-001-01,CLOSE-CLEAN-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-CLOSE-CLEAN-001-02,CLOSE-CLEAN-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-CLOSE-CLEAN-001-03,CLOSE-CLEAN-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-CLOSE-TEST-001-01,CLOSE-TEST-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-CLOSE-TEST-001-02,CLOSE-TEST-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-CLOSE-TEST-001-03,CLOSE-TEST-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-CLOSE-DOC-001-01,CLOSE-DOC-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-CLOSE-DOC-001-02,CLOSE-DOC-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-CLOSE-DOC-001-03,CLOSE-DOC-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
