체크ID,작업ID,구분,체크문항,판정,증빙
CHK-INTERIOR-BOARD-001-05,INTERIOR-BOARD-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INTERIOR-CEIL-001-01,INTERIOR-CEIL-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INTERIOR-CEIL-001-02,INTERIOR-CEIL-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INTERIOR-CEIL-001-03,INTERIOR-CEIL-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INTERIOR-CEIL-001-04,INTERIOR-CEIL-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INTERIOR-CEIL-001-05,INTERIOR-CEIL-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INTERIOR-FIN-001-01,INTERIOR-FIN-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INTERIOR-FIN-001-02,INTERIOR-FIN-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INTERIOR-FIN-001-03,INTERIOR-FIN-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INTERIOR-FIN-001-04,INTERIOR-FIN-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INTERIOR-FIN-001-05,INTERIOR-FIN-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-PIPE-001-01,MECH-PIPE-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-PIPE-001-02,MECH-PIPE-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-PIPE-001-03,MECH-PIPE-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-PIPE-001-04,MECH-PIPE-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-PIPE-001-05,MECH-PIPE-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-DRAIN-001-01,MECH-DRAIN-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-DRAIN-001-02,MECH-DRAIN-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-DRAIN-001-03,MECH-DRAIN-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-DRAIN-001-04,MECH-DRAIN-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-DRAIN-001-05,MECH-DRAIN-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-DUCT-001-01,MECH-DUCT-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-DUCT-001-02,MECH-DUCT-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-DUCT-001-03,MECH-DUCT-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-DUCT-001-04,MECH-DUCT-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-DUCT-001-05,MECH-DUCT-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-EQUIP-001-01,MECH-EQUIP-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-EQUIP-001-02,MECH-EQUIP-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-EQUIP-001-03,MECH-EQUIP-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-EQUIP-001-04,MECH-EQUIP-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-EQUIP-001-05,MECH-EQUIP-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-TEST-001-01,MECH-TEST-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-TEST-001-02,MECH-TEST-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-TEST-001-03,MECH-TEST-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-TEST-001-04,MECH-TEST-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MECH-TEST-001-05,MECH-TEST-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-CONDUIT-001-01,ELEC-CONDUIT-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-CONDUIT-001-02,ELEC-CONDUIT-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-CONDUIT-001-03,ELEC-CONDUIT-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-CONDUIT-001-04,ELEC-CONDUIT-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-CONDUIT-001-05,ELEC-CONDUIT-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-WIRE-001-01,ELEC-WIRE-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-WIRE-001-02,ELEC-WIRE-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-WIRE-001-03,ELEC-WIRE-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-WIRE-001-04,ELEC-WIRE-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-WIRE-001-05,ELEC-WIRE-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-PANEL-001-01,ELEC-PANEL-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-PANEL-001-02,ELEC-PANEL-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-PANEL-001-03,ELEC-PANEL-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-PANEL-001-04,ELEC-PANEL-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-PANEL-001-05,ELEC-PANEL-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-LIGHT-001-01,ELEC-LIGHT-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-LIGHT-001-02,ELEC-LIGHT-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-LIGHT-001-03,ELEC-LIGHT-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-LIGHT-001-04,ELEC-LIGHT-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-LIGHT-001-05,ELEC-LIGHT-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-GROUND-001-01,ELEC-GROUND-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-GROUND-001-02,ELEC-GROUND-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-GROUND-001-03,ELEC-GROUND-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-GROUND-001-04,ELEC-GROUND-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ELEC-GROUND-001-05,ELEC-GROUND-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-SPR-001-01,FIRE-SPR-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-SPR-001-02,FIRE-SPR-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-SPR-001-03,FIRE-SPR-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-SPR-001-04,FIRE-SPR-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-SPR-001-05,FIRE-SPR-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-HYDRANT-001-01,FIRE-HYDRANT-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-HYDRANT-001-02,FIRE-HYDRANT-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-HYDRANT-001-03,FIRE-HYDRANT-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-HYDRANT-001-04,FIRE-HYDRANT-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-HYDRANT-001-05,FIRE-HYDRANT-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-ALARM-001-01,FIRE-ALARM-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-ALARM-001-02,FIRE-ALARM-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-ALARM-001-03,FIRE-ALARM-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-ALARM-001-04,FIRE-ALARM-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-ALARM-001-05,FIRE-ALARM-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-SMOKE-001-01,FIRE-SMOKE-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-SMOKE-001-02,FIRE-SMOKE-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-SMOKE-001-03,FIRE-SMOKE-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-SMOKE-001-04,FIRE-SMOKE-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-FIRE-SMOKE-001-05,FIRE-SMOKE-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-PAVE-001-01,EXT-PAVE-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-PAVE-001-02,EXT-PAVE-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-PAVE-001-03,EXT-PAVE-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-PAVE-001-04,EXT-PAVE-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-PAVE-001-05,EXT-PAVE-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-BLOCK-001-01,EXT-BLOCK-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-BLOCK-001-02,EXT-BLOCK-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-BLOCK-001-03,EXT-BLOCK-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-BLOCK-001-04,EXT-BLOCK-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-BLOCK-001-05,EXT-BLOCK-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-MANHOLE-001-01,EXT-MANHOLE-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-MANHOLE-001-02,EXT-MANHOLE-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-MANHOLE-001-03,EXT-MANHOLE-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-MANHOLE-001-04,EXT-MANHOLE-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-EXT-MANHOLE-001-05,EXT-MANHOLE-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-LAND-PLANT-001-01,LAND-PLANT-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-LAND-PLANT-001-02,LAND-PLANT-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-LAND-PLANT-001-03,LAND-PLANT-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-LAND-PLANT-001-04,LAND-PLANT-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-LAND-PLANT-001-05,LAND-PLANT-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-LAND-FAC-001-01,LAND-FAC-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-LAND-FAC-001-02,LAND-FAC-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-LAND-FAC-001-03,LAND-FAC-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-LAND-FAC-001-04,LAND-FAC-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-LAND-FAC-001-05,LAND-FAC-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-CLEAN-001-01,CLOSE-CLEAN-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-CLEAN-001-02,CLOSE-CLEAN-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-CLEAN-001-03,CLOSE-CLEAN-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-CLEAN-001-04,CLOSE-CLEAN-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-CLEAN-001-05,CLOSE-CLEAN-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-TEST-001-01,CLOSE-TEST-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-TEST-001-02,CLOSE-TEST-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-TEST-001-03,CLOSE-TEST-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-TEST-001-04,CLOSE-TEST-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-TEST-001-05,CLOSE-TEST-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-DOC-001-01,CLOSE-DOC-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-DOC-001-02,CLOSE-DOC-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-DOC-001-03,CLOSE-DOC-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-DOC-001-04,CLOSE-DOC-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-CLOSE-DOC-001-05,CLOSE-DOC-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
